algorithm,corpus,pattern,length,rarity_bucket,comparisons,bmh_comparisons,comparison_reduction_pct
HC,dante,"Gutenberg work, ",16,rare,32.0,67041.0,99.95226801509524
HC,dante,a  lâo,8,rare,124.0,93631.0,99.8675652294646
HC,dante,a dentro tutte p,16,medium,16.0,64242.0,99.97509417515022
HC,dante,a e sâascondeva vosco  quelli ,32,rare,32.0,51786.0,99.93820723747731
HC,dante,"a,  Â«ch",8,rare,10.0,90820.0,99.98898920942524
HC,dante,bita dis,8,medium,10.0,106212.0,99.99058486799984
HC,dante,"bito foco,  movendo li occhi che",32,medium,32.0,40501.0,99.92098960519493
HC,dante,dal mio ,8,medium,85.0,124005.0,99.93145437683964
HC,dante,"do quasi, sÃ¬ che Giove,  Mercurio e Marte a nominar trascorse. ",64,rare,64.0,34056.0,99.81207423067889
HC,dante,"do sÃ¹, non pote",16,rare,16.0,60593.0,99.97359430957371
HC,dante,duol pur,8,medium,10.0,99813.0,99.98998126496548
HC,dante,"e Ã¨ de lâuom proprio male,  piÃ¹ spiace a Dio; e perÃ² stan d",64,rare,64.0,31271.0,99.7953375331777
HC,dante,egio e l,8,medium,10.0,115427.0,99.9913365157199
HC,dante,er lo fo,8,medium,62.0,106965.0,99.94203711494414
HC,dante,erg  electronic works. See parag,32,rare,32.0,40134.0,99.92026710519758
HC,dante,gua si scerna.    CiÃ² che narra,32,rare,32.0,41305.0,99.92252753903885
HC,dante,"hia,  venendo sÃ",16,rare,16.0,63524.0,99.97481266922738
HC,dante,hing for  copies,16,medium,16.0,63967.0,99.97498710272484
HC,dante,"i châattende lÃ , per qui mi m",32,rare,32.0,39444.0,99.91887232532197
HC,dante,i seppe nÃ© orto,16,rare,16.0,65066.0,99.97540958411459
HC,dante,"ie,  sÃ¬ che notte nÃ© sonno a v",32,rare,32.0,37337.0,99.91429413182634
HC,dante,inquecen,8,medium,32.0,91155.0,99.96489495913553
HC,dante,ltri sca,8,common,9.0,107506.0,99.99162837423027
HC,dante,mi lÃ¬ n,8,rare,10.0,103393.0,99.99032816534968
HC,dante,"miltÃ , e gran t",16,rare,16.0,66265.0,99.97585452350411
HC,dante,"n campo giunti coâ loro avversari,  e io pregava Iddio di quel",64,rare,64.0,27718.0,99.76910310989248
HC,dante,n le suo,8,medium,16.0,105739.0,99.98486840238701
